r_f_addr,mi_ctrline,oneway_dir,displayrou,r_t_addr,f_street,objectid,pre_dir,st_type,t_street,l_f_addr,street,l_t_addr,st_name,AREA,PERIMETER,COMAREA_,COMAREA_ID,AREA_NUMBE,COMMUNITY,SHAPE_AREA,SHAPE_LEN,length
201,0.141197533958,,SHARED-LANE,351,S INDIANA AVE,414,E,ST,S CALUMET AVE,200,18TH ST,350,18TH,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,227.231758777449
2001,0.163368787317,,SHARED-LANE,1801,E CULLERTON ST,415,S,AVE,E 18TH ST,2000,CALUMET AVE,1800,CALUMET,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,262.912302294734
1701,0.129625225428,,BUFFERED BIKE LANE,1601,S PAULINA ST,765,W,ST,S ASHLAND AVE,1700,HARRISON ST,1600,HARRISON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,208.609379193979
2358,0.50282295563,,BIKE LANE,2000,S WESTERN AVE,416,W,RD,S DAMEN AVE,2359,MARQUETTE RD,2001,MARQUETTE,0,0,0,0,66,CHICAGO LAWN,98279465.1151,40073.0998382,423.78781346396
2358,0.50282295563,,BIKE LANE,2000,S WESTERN AVE,416,W,RD,S DAMEN AVE,2359,MARQUETTE RD,2001,MARQUETTE,0,0,0,0,67,WEST ENGLEWOOD,87947691.9478,40195.2033069,385.419633348601
8200,0.251010309995,,BIKE LANE,8100,E 83RD ST,417,S,DR,E 81ST ST,8201,SOUTH SHORE DR,8101,SOUTH SHORE,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,403.951637838687
5200,0.52244264994,,BUFFERED BIKE LANE,4800,N LARAMIE AVE,418,W,BLVD,N CICERO AVE,5201,WASHINGTON BLVD,4801,WASHINGTON,0,0,0,0,25,AUSTIN,199254203.427,75226.4749167,840.788426393037
2001,0.225143843081,,BUFFERED BIKE LANE,2143,W ARMITAGE AVE,419,N,AVE,W PALMER BLVD,2000,KEDZIE AVE,2142,KEDZIE,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,362.331645738166
2127,0.060704165148,,BIKE LANE,2155,N CLYBOURN AVE,420,N,AVE,W WEBSTER AVE,2136,SOUTHPORT AVE,2158,SOUTHPORT,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,97.6928081170228
2201,0.248384689185,,BIKE LANE,2359,W WEBSTER AVE,421,N,AVE,W FULLERTON AVE,2200,SOUTHPORT AVE,2358,SOUTHPORT,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,399.732011857727
2132,0.0624006633836,,BUFFERED BIKE LANE,2158,N LEAVITT ST,422,W,ST,N HAMILTON AVE,2133,ROSCOE ST,2159,ROSCOE,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,100.423248412331
3600,0.548638435243,,PROTECTED BIKE LANE,3264,N CENTRAL PARK DR,423,W,ST,N KEDZIE AVE,3601,LAKE ST,3265,LAKE,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,882.942879932507
700,0.164532271169,S,BUFFERED BIKE LANE,624,W POLK ST,424,S,ST,W HARRISON ST,701,DESPLAINES ST,629,DESPLAINES,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,264.785502409735
112,0.15636066575,,BUFFERED BIKE LANE,2,S CLARK ST,425,W,ST,S STATE ST,113,18TH ST,1,18TH,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,251.634296654019
8301,1.03695033986,,BUFFERED BIKE LANE,7501,W 83RD ST,426,S,ST,W 75TH ST,8300,HALSTED ST,7500,HALSTED,0,0,0,0,68,ENGLEWOOD,85652323.0826,42316.8442973,26.3276351970874
8301,1.03695033986,,BUFFERED BIKE LANE,7501,W 83RD ST,426,S,ST,W 75TH ST,8300,HALSTED ST,7500,HALSTED,0,0,0,0,71,AUBURN GRESHAM,105065353.602,46757.7217161,1642.45976109901
5201,0.627679363393,,BUFFERED BIKE LANE,5487,W FOSTER AVE,427,N,AVE,N LYNCH AVE,5200,ELSTON AVE,5486,ELSTON,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,631.759443872352
5201,0.627679363393,,BUFFERED BIKE LANE,5487,W FOSTER AVE,427,N,AVE,N LYNCH AVE,5200,ELSTON AVE,5486,ELSTON,0,0,0,0,12,FOREST GLEN,89130893.6364,74493.821604,378.391446581443
865,0.0472479096763,,BUFFERED BIKE LANE,881,E PERSHING RD,438,E,BLVD,S LAKE PARK AVE,866,OAKWOOD BLVD,882,OAKWOOD,0,0,0,0,36,OAKLAND,16913961.0408,19565.5061533,76.036757969726
7459,0.631736994478,N,SHARED-LANE,7001,75TH ST,428,S,ST,70TH ST,7458,STATE ST,7000,STATE,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,1016.6661838955
3741,0.17460495211,,BUFFERED BIKE LANE,3833,N KIMBALL AVE,429,N,AVE,N ST. LOUIS AVE,3734,ELSTON AVE,3832,ELSTON,0,0,0,0,16,IRVING PARK,89611382.3106,49083.2240938,280.997904983302
300,0.678401206057,,NEIGHBORHOOD GREENWAY,959,W HUBBARD ST,430,N,ST,W AUGUSTA BLVD,301,WOOD ST,958,WOOD,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,1091.76995534517
5201,0.719598679046,N,NEIGHBORHOOD GREENWAY,5739,W FOSTER AVE,431,N,AVE,N RIDGE AVE,5200,GLENWOOD AVE,5738,GLENWOOD,0,0,0,0,77,EDGEWATER,48449990.8397,31004.8309456,1158.06937156996
1200,0.251468511354,,NEIGHBORHOOD GREENWAY,1358,N GLENWOOD AVE,432,W,AVE,N BROADWAY,1201,CARMEN AVE,1359,CARMEN,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,404.694865114863
5480,0.530043173235,,BUFFERED BIKE LANE,5100,W GARFIELD BLVD,433,S,AVE,W 51ST ST,5481,DAMEN AVE,5101,DAMEN,0,0,0,0,61,NEW CITY,134636963.254,48133.595961,813.043370040552
5480,0.530043173235,,BUFFERED BIKE LANE,5100,W GARFIELD BLVD,433,S,AVE,W 51ST ST,5481,DAMEN AVE,5101,DAMEN,0,0,0,0,67,WEST ENGLEWOOD,87947691.9478,40195.2033069,39.969991347375
1001,0.5033649567,,BUFFERED BIKE LANE,1601,W DIVISION ST,434,N,AVE,W NORTH AVE,1000,CALIFORNIA AVE,1600,CALIFORNIA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,810.081466087879
1359,0.285727028097,,BIKE LANE,1201,W DOUGLAS DR,435,S,DR,W ROOSEVELT RD,1358,SACRAMENTO DR,1200,SACRAMENTO,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,459.829939623622
1358,0.150149894758,,SHARED-LANE,1231,S VINCENNIES AVE,436,W,ST,MAJOR TAYLOR TRAIL,1359,105TH ST,1230,105TH,0,0,0,0,72,BEVERLY,88779363.9384,44591.4851009,0.205799677508074
1358,0.150149894758,,SHARED-LANE,1231,S VINCENNIES AVE,436,W,ST,MAJOR TAYLOR TRAIL,1359,105TH ST,1230,105TH,0,0,0,0,73,WASHINGTON HEIGHTS,79635752.8769,42222.598163,241.434103734696
2801,1.39745776997,,BUFFERED BIKE LANE,3555,N WESTERN AVE,437,N,AVE,N KEDZIE AVE,2800,ELSTON AVE,3546,ELSTON,0,0,0,0,21,AVONDALE,55290595.473,34261.9334038,2248.9741600965
4001,0.50429836679,,BUFFERED BIKE LANE,3601,S PULASKI RD,766,W,ST,S CENTRAL PARK AVE,4000,MADISON ST,3600,MADISON,0,0,0,0,26,WEST GARFIELD PARK,36092848.8151,26238.5419796,408.458261111967
4001,0.50429836679,,BUFFERED BIKE LANE,3601,S PULASKI RD,766,W,ST,S CENTRAL PARK AVE,4000,MADISON ST,3600,MADISON,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,403.127389425165
2602,0.199202635469,,BUFFERED BIKE LANE,2700,HOME DEPOT DRIVEWAY,439,N,AVE,W LOGAN BLVD,2601,ELSTON AVE,2701,ELSTON,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,320.582781739467
0,0.278397264776,,OFF-STREET TRAIL,0,N LAKEFRONT TRAIL,440,E,,NAVY PIER,0,NAVY PIER FLYOVER DETOUR,0,NAVY PIER FLYOVER DETOUR,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,448.029329538418
0,0.0282325289239,,ACCESS PATH,0,N LAKEFRONT TRAIL,441,E,,NAVY PIER,0,NAVY PIER N ACCESS (STREET LEVEL),0,NAVY PIER N ACCESS (STREET LEVEL),0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,45.4350797917821
0,0.0242083586196,,ACCESS PATH,0,S MICHIGAN AVE,442,E,,S LAKEFRONT TRAIL,0,MUSEUM CAMPUS ACCESS (UNDERPASS),0,MUSEUM CAMPUS ACCESS (UNDERPASS),0,0,0,0,32,LOOP,46335565.4586,39428.6729962,38.9589660710576
0,0.875263452307,,OFF-STREET TRAIL,0,E MADISON ST (EXTENDED),443,S,TRAIL,S SOUTH SHORE DR,0,LAKEFRONT TRAIL,0,LAKEFRONT TRAIL,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,1408.5767368977
0,0.0861924962429,,OFF-STREET TRAIL,0,E MADISON ST (EXTENDED),444,S,TRAIL,S SOUTH SHORE DR,0,LAKEFRONT TRAIL,0,LAKEFRONT TRAIL,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,138.71108611911
0,0.00959287692553,,ACCESS PATH,0,S LAKEFRONT TRAIL,445,N,,E RANDOLPH ST,0,MILLENNIUM PARK ACCESS (STREET LEVEL),0,MILLENNIUM PARK ACCESS (STREET LEVEL),0,0,0,0,32,LOOP,46335565.4586,39428.6729962,15.437985641166
300,0.175429208654,E,BIKE LANE,400,N COLUMBUS DR,446,E,ST,N FIELD BLVD,301,RANDOLPH ST,399,RANDOLPH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,282.321356338038
0,0.236971108126,,OFF-STREET TRAIL,0,N LAKEFRONT TRAIL,447,W,,N LASALLE ST,0,CHICAGO RIVERWALK,0,CHICAGO RIVERWALK,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,381.362350267568
7626,0.394514819149,,BUFFERED BIKE LANE,7846,W 79TH ST,448,S,AVE,W 76TH ST,7627,VINCENNES AVE,7847,VINCENNES,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,634.900732006608
1600,0.115279147158,,BIKE LANE,1546,N MARSHFIELD AVE,449,W,ST,N MILWAUKEE AVE,1601,DIVISION ST,1535,DIVISION,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,185.521848754393
45,0.168944801695,,PROTECTED BIKE LANE,159,S WABASH AVE,450,E,RD,S INDIANA AVE,44,ROOSEVELT RD,158,ROOSEVELT,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,271.886050512056
8338,0.669776961029,,BUFFERED BIKE LANE,7928,W 84TH ST,451,S,AVE,W 79TH ST,8355,VINCENNES AVE,7931,VINCENNES,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,833.347078886766
8338,0.669776961029,,BUFFERED BIKE LANE,7928,W 84TH ST,451,S,AVE,W 79TH ST,8355,VINCENNES AVE,7931,VINCENNES,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,0.17050281856163
8338,0.669776961029,,BUFFERED BIKE LANE,7928,W 84TH ST,451,S,AVE,W 79TH ST,8355,VINCENNES AVE,7931,VINCENNES,0,0,0,0,71,AUBURN GRESHAM,105065353.602,46757.7217161,244.368400969299
4801,0.322842595119,,SHARED-LANE,4993,W LAWRENCE AVE,452,N,AVE,I-90,4800,MILWAUKEE AVE,4992,MILWAUKEE,0,0,0,0,11,JEFFERSON PARK,64868161.6818,44011.9571704,519.564506646116
6959,0.128459550617,N,BUFFERED BIKE LANE,6901,70TH ST,453,S,ST,69TH ST,6958,STATE ST,6900,STATE,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,206.732365239442
7859,0.498688861173,N,BUFFERED BIKE LANE,7501,79TH ST,454,S,ST,75TH ST,7858,STATE ST,7500,STATE,0,0,0,0,69,GREATER GRAND CROSSING,98853167.7093,54645.3302996,802.549301391677
11075,0.739673799226,,BIKE LANE,10301,E 111TH ST,455,S,AVE,S WOODLAWN AVE,11074,DOTY AVE,10300,DOTY,0,0,0,0,50,PULLMAN,59001555.602,35572.0695077,1190.36676537258
1132,0.0643253575661,,BUFFERED BIKE LANE,1559,W HADDON AVE,456,N,AVE,W DIVISION ST,1133,CALIFORNIA AVE,1558,CALIFORNIA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,103.52087184482
1201,0.089391651859,,SHARED-LANE,1599,N HALSTED ST,457,N,AVE,W NORTH AVE,1200,CLYBOURN AVE,1598,CLYBOURN,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,143.641599985674
1201,0.089391651859,,SHARED-LANE,1599,N HALSTED ST,457,N,AVE,W NORTH AVE,1200,CLYBOURN AVE,1598,CLYBOURN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,0.218493163632019
3901,0.0944278893087,N,PROTECTED BIKE LANE,4001,N BROADWAY,458,N,AVE,W IRVING PARK RD,3900,CLARENDON AVE,4000,CLARENDON,0,0,0,0,3,UPTOWN,65095642.7289,46972.7945549,0.154628224198029
3901,0.0944278893087,N,PROTECTED BIKE LANE,4001,N BROADWAY,458,N,AVE,W IRVING PARK RD,3900,CLARENDON AVE,4000,CLARENDON,0,0,0,0,6,LAKE VIEW,87214799.2728,51973.0968677,151.810426570608
1001,0.187097701188,,BUFFERED BIKE LANE,1132,W AUGUSTA BLVD,459,N,AVE,W HADDON AVE,1000,CALIFORNIA AVE,1133,CALIFORNIA,0,0,0,0,24,WEST TOWN,127562904.597,55203.7186956,301.102360738136
147,0.164177205555,S,PROTECTED BIKE LANE,233,W RANDOLPH ST,460,N,ST,W FULTON ST,146,CLINTON ST,230,CLINTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,264.214012855555
1604,0.27129778025,,PROTECTED BIKE LANE,1400,W OGDEN AVE,461,S,DR,W DOUGLAS BLVD,1605,SACRAMENTO DR,1401,SACRAMENTO,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,436.608486856701
325,0.24099933162,S,BUFFERED BIKE LANE,525,W MERCHANDISE MART,462,N,ST,W GRAND AVE,326,WELLS ST,526,WELLS,0,0,0,0,8,NEAR NORTH SIDE,76675895.9728,57293.1649516,387.845230664011
2400,0.25525719259,,BIKE LANE,2258,S WESTERN AVE,463,W,ST,S LEAVITT ST,2401,18TH ST,2259,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,410.793002674766
2132,0.253200752178,,BIKE LANE,2058,S LEAVITT ST,464,W,ST,S DAMEN AVE,2131,18TH ST,2059,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,407.483287301891
1420,0.168206609097,,BIKE LANE,1244,W 14TH PL,479,S,ST,W MAXWELL ST,1421,HALSTED ST,1245,HALSTED,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,270.698787738719
168,0.280907436064,,PROTECTED BIKE LANE,1,S FINANCIAL PL,465,W,ST,S STATE ST,169,HARRISON ST,2,HARRISON,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,452.069954680953
2000,0.124963574936,W,NEIGHBORHOOD GREENWAY,2060,N LINCOLN AVE,466,W,AVE,N DAMEN AVE,2001,BERTEAU AVE,2057,BERTEAU,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,201.107550143795
20,0.0892549932551,N,BUFFERED BIKE LANE,18,W MONROE ST,467,S,ST,W MADISON ST,19,FRANKLIN ST,17,FRANKLIN,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,143.63993489127
201,0.077375769862,N,BUFFERED BIKE LANE,245,W LAKE ST,468,N,ST,W WACKER ST,200,FRANKLIN ST,244,FRANKLIN,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,124.522453480029
20,0.306446233468,S,SHARED-LANE,200,W ARCADE PL,469,S,ST,W LAKE ST,19,WELLS ST,201,WELLS,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,493.170276981256
742,0.39731580829,,BIKE LANE,500,S HALSTED ST,470,W,RD,S CANAL ST,743,ROOSEVELT RD,501,ROOSEVELT,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,639.409242988227
3328,0.222012189536,,BIKE LANE,3200,N KIMBALL AVE,471,W,AVE,N KEDZIE AVE,3329,WRIGHTWOOD AVE,3201,WRIGHTWOOD,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,357.291884626998
3946,0.251974242627,,BIKE LANE,3800,N PULASKI RD,472,W,AVE,N HAMLIN AVE,3951,WRIGHTWOOD AVE,3801,WRIGHTWOOD,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,405.511459612141
2959,0.756562924785,,SHARED-LANE,2401,S SACRAMENTO AVE,473,W,ST,S WESTERN AVE,2958,59TH ST,2400,59TH,0,0,0,0,63,GAGE PARK,61284896.1132,32294.1959107,1217.56019016416
1815,0.285895772916,,SHARED-LANE,1977,N WELLS ST,474,N,AVE,W ARMITAGE AVE,1814,LINCOLN AVE,1806,LINCOLN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,460.098172982898
2101,0.177308968612,,SHARED-LANE,2177,W DICKENS AVE,475,N,AVE,W WEBSTER AVE,2100,LINCOLN AVE,2176,LINCOLN,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,285.347303647427
1,0.319795647367,,BUFFERED BIKE LANE,173,W MADISON ST,476,N,DR,W LAKE ST,2,CONSERVATORY DR,172,CONSERVATORY,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,514.65847050786
201,0.347825955283,,BUFFERED BIKE LANE,459,W LAKE ST,477,N,DR,W FRANKLIN BLVD,200,CONSERVATORY DR,458,CONSERVATORY,0,0,0,0,23,HUMBOLDT PARK,100480876.502,48583.0643299,207.795056964444
201,0.347825955283,,BUFFERED BIKE LANE,459,W LAKE ST,477,N,DR,W FRANKLIN BLVD,200,CONSERVATORY DR,458,CONSERVATORY,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,351.973628851899
3249,0.251705830833,,BIKE LANE,3101,W 33RD ST,478,S,ST,W 31ST ST,3300,HALSTED ST,3100,HALSTED,0,0,0,0,60,BRIDGEPORT,58291519.2767,32732.7183268,405.075976132383
300,0.0880806474043,S,PROTECTED BIKE LANE,338,W VAN BUREN ST,481,S,ST,W JACKSON BLVD,301,CLINTON ST,339,CLINTON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,141.750130537064
1330,0.172169023448,,BIKE LANE,1200,N WAYNE AVE,482,W,AVE,N SHERIDAN RD,1329,MORSE AVE,1201,MORSE,0,0,0,0,1,ROGERS PARK,51259902.4506,34052.3975757,277.076166819589
199,0.0852523313193,,PROTECTED BIKE LANE,132,S WENTWORTH AVE,483,W,ST,S LASALLE ST,198,31ST ST,133,31ST,0,0,0,0,34,ARMOUR SQUARE,27766196.0954,31948.5988398,137.198286123714
1,0.366541075775,,PROTECTED BIKE LANE,300,S STATE ST,484,E,ST,S GILES AVE,2,31ST ST,301,31ST,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,589.881343456341
1259,0.125881613236,,BIKE LANE,1201,S THROOP ST,485,W,ST,S RACINE AVE,1268,TAYLOR ST,1200,TAYLOR,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,202.584454280589
3358,0.971250152634,W,BUFFERED BIKE LANE,3058,N HOMAN BLVD,486,W,BLVD,N TALMAN AVE,3359,WASHINGTON BLVD,3059,WASHINGTON,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,1563.06494880727
3762,0.555269512602,,BIKE LANE,3400,N HAMLIN BLVD,487,W,BLVD,N HOMAN BLVD,3763,WASHINGTON BLVD,3401,WASHINGTON,0,0,0,0,26,WEST GARFIELD PARK,36092848.8151,26238.5419796,0.262803707158432
3762,0.555269512602,,BIKE LANE,3400,N HAMLIN BLVD,487,W,BLVD,N HOMAN BLVD,3763,WASHINGTON BLVD,3401,WASHINGTON,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,893.352084131853
1627,0.314464246693,,BUFFERED BIKE LANE,1401,W 17TH ST,488,S,AVE,W 14TH ST,1626,DAMEN AVE,1400,DAMEN,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,412.117344423172
1627,0.314464246693,,BUFFERED BIKE LANE,1401,W 17TH ST,488,S,AVE,W 14TH ST,1626,DAMEN AVE,1400,DAMEN,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,93.9589300131627
4758,0.127264933667,,BUFFERED BIKE LANE,4700,N CICERO AVE,489,W,BLVD,N KILPATRICK AVE,4759,WASHINGTON BLVD,4701,WASHINGTON,0,0,0,0,25,AUSTIN,199254203.427,75226.4749167,204.812558170593
4666,0.379512856574,,BUFFERED BIKE LANE,4400,N KILPATRICK AVE,490,W,BLVD,N KOSTNER AVE,4667,WASHINGTON BLVD,4401,WASHINGTON,0,0,0,0,25,AUSTIN,199254203.427,75226.4749167,206.844099394671
4666,0.379512856574,,BUFFERED BIKE LANE,4400,N KILPATRICK AVE,490,W,BLVD,N KOSTNER AVE,4667,WASHINGTON BLVD,4401,WASHINGTON,0,0,0,0,26,WEST GARFIELD PARK,36092848.8151,26238.5419796,403.92085490279
1401,0.262454817828,,SHARED-LANE,0,S DORCHESTER AVE,491,E,ST,S STONY ISLAND AVE,1400,83RD ST,8301,83RD,0,0,0,0,45,AVALON PARK,34852737.7366,27630.822534,422.371511636958
4001,0.504036408222,,BIKE LANE,4359,W IRVING PARK RD,492,N,AVE,W MONTROSE AVE,4000,DAMEN AVE,4358,DAMEN,0,0,0,0,4,LINCOLN SQUARE,71352328.2399,36624.6030848,0.146936923517963
4001,0.504036408222,,BIKE LANE,4359,W IRVING PARK RD,492,N,AVE,W MONTROSE AVE,4000,DAMEN AVE,4358,DAMEN,0,0,0,0,5,NORTH CENTER,57054167.85,31391.6697542,811.013559613354
2425,0.37703508146,,BIKE LANE,2633,S YATES BLVD,493,E,ST,S MARQUETTE AVE,2428,83RD ST,2632,83RD,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,606.764835853428
2959,0.125955977884,,BIKE LANE,3027,S EXCHANGE AVE,494,E,ST,S HOUSTON AVE,2958,83RD ST,3026,83RD,0,0,0,0,46,SOUTH CHICAGO,93272185.0092,52435.9794313,202.701424988227
332,0.325039862287,,SHARED-LANE,2,S WELLS ST,495,W,ST,S STATE ST,347,33RD ST,1,33RD,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,262.07508328575
332,0.325039862287,,SHARED-LANE,2,S WELLS ST,495,W,ST,S STATE ST,347,33RD ST,1,33RD,0,0,0,0,34,ARMOUR SQUARE,27766196.0954,31948.5988398,261.018004487205
501,0.125436117635,,SHARED-LANE,559,S EBERHART AVE,496,E,ST,S ST LAWRENCE AVE,500,83RD ST,558,83RD,0,0,0,0,44,CHATHAM,82320670.3112,42006.9450094,201.866350223874
2180,0.0837668187131,,SHARED-LANE,2142,N LEAVITT ST,497,W,AVE,N HAMILTON AVE,2181,WILSON AVE,2143,WILSON,0,0,0,0,4,LINCOLN SQUARE,71352328.2399,36624.6030848,134.808448999079
201,0.08474132217,W,BIKE LANE,249,N STETSON AVE,498,E,ST,N COLUMBUS DR,200,RANDOLPH ST,248,RANDOLPH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,136.375763333317
121,0.069766721447,W,BUFFERED BIKE LANE,201,E RANDOLPH ST,499,E,ST,N STETSON AVE,120,RANDOLPH ST,200,RANDOLPH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,112.276884434746
121,0.155841831979,E,BUFFERED BIKE LANE,249,E RANDOLPH ST,500,E,ST,N COLUMBUS DR,120,RANDOLPH ST,248,RANDOLPH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,250.799135431682
101,0.0425546378375,,BUFFERED BIKE LANE,117,N MICHIGAN AVE,501,E,ST,E RANDOLPH ST,100,RANDOLPH ST,118,RANDOLPH,0,0,0,0,32,LOOP,46335565.4586,39428.6729962,68.4839802764152
201,0.247639517488,,BIKE LANE,359,S INDIANA AVE,502,E,ST,S DR MARTIN LUTHER KING JR DR,200,35TH ST,358,35TH,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,398.530686569839
3330,0.251453830019,,BIKE LANE,3228,S HOMAN AVE,503,W,RD,S KEDZIE AVE,3333,ROOSEVELT RD,3225,ROOSEVELT,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,404.673224375266
1,0.251981530569,,SHARED-LANE,201,S STATE ST,504,E,ST,S INDIANA AVE,2,35TH ST,200,35TH,0,0,0,0,35,DOUGLAS,46004621.1581,31027.0545098,405.518594378726
101,0.218691964634,,SHARED-LANE,141,W MADISON ST,505,N,AVE,W LAKE ST,100,CALIFORNIA AVE,138,CALIFORNIA,0,0,0,0,27,EAST GARFIELD PARK,53883220.8462,31514.6259565,351.948001751964
7201,0.501021253035,,SHARED-LANE,7559,W TOUHY AVE,506,N,AVE,W HOWARD ST,7200,CALIFORNIA AVE,7558,CALIFORNIA,0,0,0,0,2,WEST RIDGE,98429094.8621,43020.6894583,806.170739522121
3134,0.127433497015,,SHARED-LANE,3126,S KEDZIE AVE,507,W,RD,S ALBANY AVE,3135,ROOSEVELT RD,3127,ROOSEVELT,0,0,0,0,29,NORTH LAWNDALE,89487422.0242,44959.4596627,205.082992781294
1430,0.0628921156737,,BIKE LANE,1380,N BRANCH CHICAGO RIVER,508,W,ST,N SOUTHPORT AVE,1429,CORTLAND ST,1379,CORTLAND,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,0.251139310625839
1430,0.0628921156737,,BIKE LANE,1380,N BRANCH CHICAGO RIVER,508,W,ST,N SOUTHPORT AVE,1429,CORTLAND ST,1379,CORTLAND,0,0,0,0,7,LINCOLN PARK,88316400.4728,49478.4277714,100.962798852474
1456,0.0582208675571,,BIKE LANE,1432,N MENDELL ST,509,W,ST,N BRANCH CHICAGO RIVER,1463,CORTLAND ST,1431,CORTLAND,0,0,0,0,22,LOGAN SQUARE,100057566.7,49213.4217488,93.6963883385853
1179,0.5047272604,,BIKE LANE,801,S RACINE AVE,510,W,ST,S HALSTED ST,1174,18TH ST,800,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,812.26969329998
1259,0.126215463942,,BIKE LANE,1201,S THROOP ST,511,W,ST,S RACINE AVE,1258,18TH ST,1200,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,203.121718263493
1359,0.126171396845,,BIKE LANE,1301,S LOOMIS ST,512,W,ST,S THROOP ST,1358,18TH ST,1300,18TH,0,0,0,0,31,LOWER WEST SIDE,81550723.6377,43229.3727036,203.050856762764
201,0.0763719038108,N,BIKE LANE,231,W LAKE ST,513,N,ST,W FULTON ST,200,JEFFERSON ST,230,JEFFERSON,0,0,0,0,28,NEAR WEST SIDE,158492466.554,53003.5929406,122.907017577671
1,0.168682793911,,BUFFERED BIKE LANE,79,S STATE ST,578,E,ST,S MICHIGAN AVE,2,18TH ST,80,18TH,0,0,0,0,33,NEAR SOUTH SIDE,49769639.4541,45053.1651038,271.464434034429
